Time,PM10,PM25,PM100
1707349373.4441292,0,0,0
1707349374.4455254,0,0,0
1707349375.446893,0,0,0
1707349376.4482563,0,0,0
1707349377.4498985,0,0,0
1707349378.4516182,0,0,0
1707349379.4533627,0,0,0
1707349380.4551358,0,0,0
1707349381.456873,0,0,0
1707349382.458667,0,0,0
1707349383.4604166,0,0,0
1707349384.4622219,0,0,1
1707349385.4640222,0,0,1
1707349386.4658165,0,1,2
1707349387.4675732,0,1,2
1707349388.4693537,0,1,2
1707349389.4710546,0,1,2
1707349390.4728274,0,1,2
1707349391.4745748,0,1,2
1707349392.476303,0,1,2
1707349393.4781358,0,1,2
1707349394.4798625,0,1,2
1707349395.481574,0,1,2
1707349396.4833982,0,1,2
1707349397.4851415,0,1,2
1707349398.4869156,0,1,2
1707349399.4887252,0,2,3
1707349400.4905128,0,2,3
1707349401.4922993,0,2,3
1707349402.4941437,0,2,3
